"trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","calibrationAccuracy","currGazeTime","singleCrossData","totalGazeTime","screenX","screenY","gazerDatasingleDotDuration","stimBot","stimTop","stimLeft","stimRight","webgazerError","stimLocation","trialLength","gazerDatadoubleImageGaze","stimLeftGaze","stimRightGaze","leftStimDims","rightStimDims","currGazeObject","gazerDatadoubleImageKey","stimulusOne","stimulusTwo","stimuliAreas","keyResp","gazerDatadoubleImageDuration","stimulusLeft","stimulusRight","LstimBot","LstimLeft","LstimRight","LstimTop","RstimBot","RstimLeft","RstimRight","RstimTop","gazerDatasingleImageKey","keyStimBot","keyStimTop","keyStimLeft","keyStimRight","upright","singleImageKeyWebgazerError","gazerDatasingleImageDuration","durationStimBot","durationStimTop","durationStimLeft","durationStimRight","singleImageDurationStimulus","singleImageDurationUpright","singleImageDurationWebgazerError"
"pavlovia","0","2778","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","1","3788","0.0-1.0","1440","718","true","chrome","114.0.0","false","Mac OS","true","59.91","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","3796","0.0-2.0","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","4829","0.0-3.0","","","","","","","","","","","","","","","","","1033","<p>Welcome to the Gazer demo experiment.</p>
    <p>The purpose of this demo is to provide working examples for all the available Gazer plugins for jsPsych.</p>
    <p>For documentation of this system, please visit <a href='https://amyvanwell.github.io/gazerCode/'>amyvanwell.github.io/gazerCode/</a>.</p> 
    <p>Press any key to proceed to the first part of the demonstration, the Gazer calibration.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"calibrate-quadrants-simple","4","27161","0.0-4.0","","","","","","","","","","","","","","","","","","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","27951","0.0-5.0","","","","","","","","","","","","","","","","","789","<p>Thank you for calibrating, you will now proceed to the trials.</p><p> There are a total of 5 blocks of trials, each of a different type. <br>The first will be a block of 8 SINGLE-DOT-DURATION trials.</p><p>Your task is to fixate on the center cross, and then gaze at the red dot when it appears until the end of the trial.</p><p>In each trial, we will wait to present the red dot until we record your gaze has been on the center cross for 250ms consecutively.</p><p> Press [space] to continue to proceed to the first trial.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","6","28295","0.0-6.0-0.0","","","","","","","","","","","","","","","","","","","","","306","[{""startTime"":1689888380064,""x"":916,""y"":478,""analysisTime"":38},{""startTime"":1689888380113,""x"":775,""y"":289,""analysisTime"":28},{""startTime"":1689888380157,""x"":809,""y"":299,""analysisTime"":41},{""startTime"":1689888380208,""x"":791,""y"":288,""analysisTime"":39},{""startTime"":1689888380257,""x"":654,""y"":275,""analysisTime"":39},{""startTime"":1689888380306,""x"":659,""y"":245,""analysisTime"":40},{""startTime"":1689888380377,""x"":669,""y"":314,""analysisTime"":31}]","344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","7","29864","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","1440","718","[{""startTime"":0,""x"":675,""y"":288,""analysisTime"":33},{""startTime"":44,""x"":674,""y"":273,""analysisTime"":37},{""startTime"":91,""x"":697,""y"":211,""analysisTime"":26},{""startTime"":128,""x"":729,""y"":264,""analysisTime"":22},{""startTime"":166,""x"":710,""y"":262,""analysisTime"":40},{""startTime"":216,""x"":638,""y"":267,""analysisTime"":39},{""startTime"":265,""x"":733,""y"":315,""analysisTime"":38},{""startTime"":314,""x"":726,""y"":263,""analysisTime"":38},{""startTime"":362,""x"":648,""y"":248,""analysisTime"":38},{""startTime"":410,""x"":586,""y"":277,""analysisTime"":26},{""startTime"":450,""x"":650,""y"":270,""analysisTime"":39},{""startTime"":500,""x"":733,""y"":258,""analysisTime"":38},{""startTime"":549,""x"":838,""y"":275,""analysisTime"":31},{""startTime"":592,""x"":815,""y"":311,""analysisTime"":31},{""startTime"":634,""x"":763,""y"":289,""analysisTime"":38},{""startTime"":682,""x"":734,""y"":294,""analysisTime"":39},{""startTime"":731,""x"":735,""y"":300,""analysisTime"":39},{""startTime"":780,""x"":729,""y"":176,""analysisTime"":39},{""startTime"":830,""x"":681,""y"":151,""analysisTime"":37},{""startTime"":877,""x"":644,""y"":194,""analysisTime"":39},{""startTime"":927,""x"":717,""y"":169,""analysisTime"":38},{""startTime"":976,""x"":657,""y"":177,""analysisTime"":26},{""startTime"":1016,""x"":626,""y"":115,""analysisTime"":41},{""startTime"":1068,""x"":595,""y"":154,""analysisTime"":38},{""startTime"":1117,""x"":650,""y"":199,""analysisTime"":38},{""startTime"":1166,""x"":637,""y"":142,""analysisTime"":38},{""startTime"":1216,""x"":622,""y"":159,""analysisTime"":30},{""startTime"":1256,""x"":505,""y"":200,""analysisTime"":26},{""startTime"":1300,""x"":545,""y"":184,""analysisTime"":39},{""startTime"":1350,""x"":513,""y"":182,""analysisTime"":39},{""startTime"":1399,""x"":596,""y"":220,""analysisTime"":39},{""startTime"":1449,""x"":573,""y"":264,""analysisTime"":37},{""startTime"":1497,""x"":644,""y"":126,""analysisTime"":26},{""startTime"":1534,""x"":627,""y"":305,""analysisTime"":35}]","184.203125","134.203125","695","745","false","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","8","30497","0.0-6.0-0.1","","","","","","","","","","","","","","","","","","","","","280","[{""startTime"":1689888381978,""x"":569,""y"":176,""analysisTime"":20},{""startTime"":1689888382013,""x"":550,""y"":168,""analysisTime"":46},{""startTime"":1689888382070,""x"":651,""y"":172,""analysisTime"":23},{""startTime"":1689888382107,""x"":649,""y"":184,""analysisTime"":41},{""startTime"":1689888382159,""x"":602,""y"":129,""analysisTime"":40},{""startTime"":1689888382210,""x"":647,""y"":172,""analysisTime"":27},{""startTime"":1689888382250,""x"":722,""y"":169,""analysisTime"":30},{""startTime"":1689888382290,""x"":747,""y"":275,""analysisTime"":40},{""startTime"":1689888382340,""x"":690,""y"":239,""analysisTime"":38},{""startTime"":1689888382389,""x"":707,""y"":256,""analysisTime"":37},{""startTime"":1689888382436,""x"":817,""y"":262,""analysisTime"":40},{""startTime"":1689888382486,""x"":777,""y"":293,""analysisTime"":38},{""startTime"":1689888382535,""x"":787,""y"":297,""analysisTime"":38},{""startTime"":1689888382584,""x"":814,""y"":299,""analysisTime"":26}]","632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","9","32046","0.0-6.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","1440","718","[{""startTime"":0,""x"":771,""y"":279,""analysisTime"":31},{""startTime"":41,""x"":689,""y"":302,""analysisTime"":26},{""startTime"":80,""x"":680,""y"":268,""analysisTime"":40},{""startTime"":131,""x"":535,""y"":257,""analysisTime"":38},{""startTime"":179,""x"":576,""y"":265,""analysisTime"":38},{""startTime"":228,""x"":667,""y"":249,""analysisTime"":39},{""startTime"":278,""x"":686,""y"":252,""analysisTime"":37},{""startTime"":325,""x"":626,""y"":252,""analysisTime"":37},{""startTime"":373,""x"":642,""y"":229,""analysisTime"":25},{""startTime"":414,""x"":766,""y"":219,""analysisTime"":39},{""startTime"":464,""x"":721,""y"":220,""analysisTime"":38},{""startTime"":513,""x"":740,""y"":262,""analysisTime"":38},{""startTime"":561,""x"":630,""y"":272,""analysisTime"":39},{""startTime"":611,""x"":605,""y"":286,""analysisTime"":38},{""startTime"":659,""x"":734,""y"":306,""analysisTime"":38},{""startTime"":708,""x"":583,""y"":265,""analysisTime"":26},{""startTime"":749,""x"":693,""y"":293,""analysisTime"":38},{""startTime"":797,""x"":625,""y"":125,""analysisTime"":39},{""startTime"":847,""x"":543,""y"":66,""analysisTime"":37},{""startTime"":894,""x"":502,""y"":111,""analysisTime"":38},{""startTime"":943,""x"":503,""y"":112,""analysisTime"":38},{""startTime"":991,""x"":583,""y"":257,""analysisTime"":27},{""startTime"":1029,""x"":571,""y"":301,""analysisTime"":34},{""startTime"":1074,""x"":571,""y"":301,""analysisTime"":26},{""startTime"":1117,""x"":472,""y"":61,""analysisTime"":43},{""startTime"":1171,""x"":519,""y"":114,""analysisTime"":33},{""startTime"":1215,""x"":377,""y"":69,""analysisTime"":40},{""startTime"":1265,""x"":581,""y"":188,""analysisTime"":40},{""startTime"":1315,""x"":549,""y"":148,""analysisTime"":38},{""startTime"":1364,""x"":575,""y"":150,""analysisTime"":39},{""startTime"":1413,""x"":602,""y"":122,""analysisTime"":38},{""startTime"":1462,""x"":539,""y"":136,""analysisTime"":39},{""startTime"":1511,""x"":466,""y"":187,""analysisTime"":38}]","184.203125","134.203125","695","745","false","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
