"trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","calibrationAccuracy","currGazeTime","singleCrossData","totalGazeTime","screenX","screenY","gazerDatasingleDotDuration","stimBot","stimTop","stimLeft","stimRight","webgazerError","stimLocation","trialLength","gazerDatadoubleImageGaze","stimLeftGaze","stimRightGaze","leftStimDims","rightStimDims","currGazeObject","gazerDatadoubleImageKey","stimulusOne","stimulusTwo","stimuliAreas","keyResp","gazerDatadoubleImageDuration","stimulusLeft","stimulusRight","LstimBot","LstimLeft","LstimRight","LstimTop","RstimBot","RstimLeft","RstimRight","RstimTop","gazerDatasingleImageKey","keyStimBot","keyStimTop","keyStimLeft","keyStimRight","upright","singleImageKeyWebgazerError","gazerDatasingleImageDuration","durationStimBot","durationStimTop","durationStimLeft","durationStimRight","singleImageDurationStimulus","singleImageDurationUpright","singleImageDurationWebgazerError"
"pavlovia","0","3147","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","1","4148","0.0-1.0","1440","718","true","chrome","114.0.0","false","Mac OS","true","60.05","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","7430","0.0-2.0","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","9192","0.0-3.0","","","","","","","","","","","","","","","","","1761","<p>Welcome to the Gazer demo experiment.</p>
    <p>The purpose of this demo is to provide working examples for all the available Gazer plugins for jsPsych.</p>
    <p>For documentation of this system, please visit <a href='https://amyvanwell.github.io/gazerCode/'>amyvanwell.github.io/gazerCode/</a>.</p> 
    <p>Press any key to proceed to the first part of the demonstration, the Gazer calibration.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"calibrate-quadrants-simple","4","74904","0.0-4.0","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","76052","0.0-5.0","","","","","","","","","","","","","","","","","1147","<p>Thank you for calibrating, you will now proceed to the trials.</p><p> There are a total of 5 blocks of trials, each of a different type. <br>The first will be a block of 8 SINGLE-DOT-DURATION trials.</p><p>Your task is to fixate on the center cross, and then gaze at the red dot when it appears until the end of the trial.</p><p>In each trial, we will wait to present the red dot until we record your gaze has been on the center cross for 250ms consecutively.</p><p> Press [space] to continue to proceed to the first trial.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","6","76564","0.0-6.0-0.0","","","","","","","","","","","","","","","","","","","","","256","[{""start_time"":1689887468323,""x"":758,""y"":257,""analysisTime"":22},{""start_time"":1689887468356,""x"":712,""y"":257,""analysisTime"":25},{""start_time"":1689887468392,""x"":722,""y"":278,""analysisTime"":40},{""start_time"":1689887468442,""x"":753,""y"":229,""analysisTime"":27},{""start_time"":1689887468480,""x"":712,""y"":146,""analysisTime"":22},{""start_time"":1689887468512,""x"":650,""y"":182,""analysisTime"":22},{""start_time"":1689887468544,""x"":716,""y"":233,""analysisTime"":34},{""start_time"":1689887468589,""x"":758,""y"":253,""analysisTime"":25},{""start_time"":1689887468625,""x"":714,""y"":282,""analysisTime"":21},{""start_time"":1689887468657,""x"":631,""y"":321,""analysisTime"":34},{""start_time"":1689887468702,""x"":631,""y"":321,""analysisTime"":25},{""start_time"":1689887468741,""x"":701,""y"":316,""analysisTime"":28},{""start_time"":1689887468780,""x"":658,""y"":308,""analysisTime"":21},{""start_time"":1689887468812,""x"":670,""y"":300,""analysisTime"":22},{""start_time"":1689887470381,""x"":1224,""y"":373,""analysisTime"":30},{""start_time"":1689887470424,""x"":1184,""y"":445,""analysisTime"":26},{""start_time"":1689887470461,""x"":1163,""y"":364,""analysisTime"":22},{""start_time"":1689887470494,""x"":1191,""y"":346,""analysisTime"":21},{""start_time"":1689887470527,""x"":1121,""y"":344,""analysisTime"":34},{""start_time"":1689887470571,""x"":1121,""y"":344,""analysisTime"":57},{""start_time"":1689887470639,""x"":1175,""y"":403,""analysisTime"":21},{""start_time"":1689887470672,""x"":1127,""y"":300,""analysisTime"":21},{""start_time"":1689887470703,""x"":664,""y"":357,""analysisTime"":22},{""start_time"":1689887470740,""x"":675,""y"":312,""analysisTime"":27},{""start_time"":1689887470778,""x"":694,""y"":334,""analysisTime"":35},{""start_time"":1689887470824,""x"":719,""y"":314,""analysisTime"":25},{""start_time"":1689887470860,""x"":663,""y"":353,""analysisTime"":21},{""start_time"":1689887470892,""x"":678,""y"":348,""analysisTime"":34},{""start_time"":1689887470937,""x"":678,""y"":348,""analysisTime"":25},{""start_time"":1689887470975,""x"":719,""y"":354,""analysisTime"":38},{""start_time"":1689887472566,""x"":812,""y"":570,""analysisTime"":30},{""start_time"":1689887472609,""x"":786,""y"":542,""analysisTime"":26},{""start_time"":1689887472646,""x"":825,""y"":549,""analysisTime"":22},{""start_time"":1689887472679,""x"":868,""y"":629,""analysisTime"":22},{""start_time"":1689887472712,""x"":871,""y"":690,""analysisTime"":34},{""start_time"":1689887472756,""x"":866,""y"":602,""analysisTime"":27},{""start_time"":1689887472794,""x"":894,""y"":648,""analysisTime"":22},{""start_time"":1689887472827,""x"":944,""y"":651,""analysisTime"":22},{""start_time"":1689887472859,""x"":578,""y"":414,""analysisTime"":35},{""start_time"":1689887472905,""x"":579,""y"":425,""analysisTime"":25},{""start_time"":1689887472940,""x"":611,""y"":417,""analysisTime"":34},{""start_time"":1689887472993,""x"":590,""y"":428,""analysisTime"":47},{""start_time"":1689887473051,""x"":664,""y"":298,""analysisTime"":23},{""start_time"":1689887473093,""x"":719,""y"":382,""analysisTime"":27},{""start_time"":1689887473132,""x"":703,""y"":323,""analysisTime"":24},{""start_time"":1689887474700,""x"":583,""y"":183,""analysisTime"":30},{""start_time"":1689887474741,""x"":552,""y"":180,""analysisTime"":27},{""start_time"":1689887474778,""x"":599,""y"":164,""analysisTime"":22},{""start_time"":1689887474811,""x"":563,""y"":182,""analysisTime"":22},{""start_time"":1689887474844,""x"":512,""y"":191,""analysisTime"":22},{""start_time"":1689887474876,""x"":666,""y"":306,""analysisTime"":34},{""start_time"":1689887474920,""x"":607,""y"":243,""analysisTime"":27},{""start_time"":1689887474958,""x"":619,""y"":137,""analysisTime"":22},{""start_time"":1689887474991,""x"":596,""y"":83,""analysisTime"":21},{""start_time"":1689887475026,""x"":530,""y"":117,""analysisTime"":40},{""start_time"":1689887475076,""x"":546,""y"":200,""analysisTime"":39},{""start_time"":1689887475126,""x"":529,""y"":85,""analysisTime"":25},{""start_time"":1689887475162,""x"":471,""y"":168,""analysisTime"":21},{""start_time"":1689887475194,""x"":585,""y"":211,""analysisTime"":21},{""start_time"":1689887475225,""x"":615,""y"":219,""analysisTime"":22},{""start_time"":1689887475258,""x"":647,""y"":233,""analysisTime"":21},{""start_time"":1689887475290,""x"":547,""y"":203,""analysisTime"":21},{""start_time"":1689887475322,""x"":619,""y"":236,""analysisTime"":21},{""start_time"":1689887475359,""x"":545,""y"":234,""analysisTime"":39},{""start_time"":1689887475409,""x"":492,""y"":198,""analysisTime"":25},{""start_time"":1689887475445,""x"":606,""y"":268,""analysisTime"":22},{""start_time"":1689887475477,""x"":589,""y"":298,""analysisTime"":52},{""start_time"":1689887475540,""x"":635,""y"":265,""analysisTime"":21},{""start_time"":1689887475575,""x"":660,""y"":338,""analysisTime"":26},{""start_time"":1689887475612,""x"":628,""y"":310,""analysisTime"":22},{""start_time"":1689887475645,""x"":570,""y"":254,""analysisTime"":34},{""start_time"":1689887475690,""x"":598,""y"":252,""analysisTime"":25},{""start_time"":1689887475726,""x"":588,""y"":161,""analysisTime"":22},{""start_time"":1689887475759,""x"":461,""y"":247,""analysisTime"":22},{""start_time"":1689887475792,""x"":465,""y"":178,""analysisTime"":27},{""start_time"":1689887475830,""x"":567,""y"":201,""analysisTime"":21},{""start_time"":1689887475862,""x"":669,""y"":289,""analysisTime"":34},{""start_time"":1689887475907,""x"":637,""y"":283,""analysisTime"":26},{""start_time"":1689887475943,""x"":680,""y"":310,""analysisTime"":22},{""start_time"":1689887475976,""x"":680,""y"":310,""analysisTime"":22},{""start_time"":1689887476009,""x"":708,""y"":259,""analysisTime"":21},{""start_time"":1689887476041,""x"":619,""y"":273,""analysisTime"":21},{""start_time"":1689887476073,""x"":647,""y"":293,""analysisTime"":26},{""start_time"":1689887476110,""x"":669,""y"":282,""analysisTime"":22},{""start_time"":1689887476143,""x"":622,""y"":227,""analysisTime"":38},{""start_time"":1689887477733,""x"":821,""y"":370,""analysisTime"":30},{""start_time"":1689887477775,""x"":874,""y"":317,""analysisTime"":27},{""start_time"":1689887477813,""x"":895,""y"":346,""analysisTime"":21},{""start_time"":1689887477845,""x"":828,""y"":340,""analysisTime"":22},{""start_time"":1689887477880,""x"":799,""y"":367,""analysisTime"":48},{""start_time"":1689887477940,""x"":786,""y"":351,""analysisTime"":23},{""start_time"":1689887477974,""x"":780,""y"":365,""analysisTime"":22},{""start_time"":1689887479535,""x"":1011,""y"":254,""analysisTime"":30},{""start_time"":1689887479576,""x"":990,""y"":251,""analysisTime"":40},{""start_time"":1689887479626,""x"":990,""y"":251,""analysisTime"":26},{""start_time"":1689887479663,""x"":997,""y"":245,""analysisTime"":21},{""start_time"":1689887479695,""x"":844,""y"":297,""analysisTime"":34},{""start_time"":1689887479739,""x"":852,""y"":362,""analysisTime"":27},{""start_time"":1689887479776,""x"":938,""y"":340,""analysisTime"":22},{""start_time"":1689887479809,""x"":610,""y"":298,""analysisTime"":21},{""start_time"":1689887479841,""x"":591,""y"":271,""analysisTime"":26},{""start_time"":1689887479878,""x"":583,""y"":331,""analysisTime"":22},{""start_time"":1689887479911,""x"":626,""y"":275,""analysisTime"":21},{""start_time"":1689887479943,""x"":630,""y"":325,""analysisTime"":21},{""start_time"":1689887479975,""x"":630,""y"":325,""analysisTime"":22},{""start_time"":1689887481563,""x"":772,""y"":485,""analysisTime"":19},{""start_time"":1689887481592,""x"":793,""y"":474,""analysisTime"":27},{""start_time"":1689887481630,""x"":818,""y"":491,""analysisTime"":22},{""start_time"":1689887481663,""x"":889,""y"":541,""analysisTime"":21},{""start_time"":1689887481695,""x"":792,""y"":527,""analysisTime"":35},{""start_time"":1689887481742,""x"":789,""y"":357,""analysisTime"":30},{""start_time"":1689887481783,""x"":811,""y"":409,""analysisTime"":25},{""start_time"":1689887481819,""x"":668,""y"":508,""analysisTime"":22},{""start_time"":1689887483383,""x"":1165,""y"":435,""analysisTime"":29},{""start_time"":1689887483426,""x"":1042,""y"":254,""analysisTime"":26},{""start_time"":1689887483463,""x"":1095,""y"":359,""analysisTime"":21},{""start_time"":1689887483494,""x"":1101,""y"":338,""analysisTime"":23},{""start_time"":1689887483527,""x"":1109,""y"":306,""analysisTime"":22},{""start_time"":1689887483560,""x"":1109,""y"":293,""analysisTime"":20},{""start_time"":1689887483590,""x"":1076,""y"":297,""analysisTime"":22},{""start_time"":1689887483626,""x"":1030,""y"":302,""analysisTime"":26},{""start_time"":1689887483663,""x"":992,""y"":233,""analysisTime"":22},{""start_time"":1689887483696,""x"":883,""y"":253,""analysisTime"":21},{""start_time"":1689887483727,""x"":870,""y"":482,""analysisTime"":22},{""start_time"":1689887483761,""x"":751,""y"":510,""analysisTime"":20},{""start_time"":1689887483792,""x"":749,""y"":477,""analysisTime"":21},{""start_time"":1689887483824,""x"":678,""y"":393,""analysisTime"":21},{""start_time"":1689887483856,""x"":569,""y"":299,""analysisTime"":20},{""start_time"":1689887483888,""x"":532,""y"":317,""analysisTime"":21},{""start_time"":1689887483926,""x"":523,""y"":303,""analysisTime"":27},{""start_time"":1689887483964,""x"":563,""y"":278,""analysisTime"":22}]","511","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","7","78111","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","1440","718","[{""startTime"":0,""x"":616,""y"":247,""analysisTime"":29},{""startTime"":40,""x"":682,""y"":287,""analysisTime"":25},{""startTime"":76,""x"":671,""y"":280,""analysisTime"":34},{""startTime"":120,""x"":604,""y"":245,""analysisTime"":39},{""startTime"":170,""x"":604,""y"":245,""analysisTime"":25},{""startTime"":206,""x"":649,""y"":205,""analysisTime"":35},{""startTime"":251,""x"":621,""y"":233,""analysisTime"":27},{""startTime"":289,""x"":627,""y"":257,""analysisTime"":25},{""startTime"":325,""x"":553,""y"":260,""analysisTime"":22},{""startTime"":358,""x"":640,""y"":310,""analysisTime"":21},{""startTime"":390,""x"":640,""y"":330,""analysisTime"":22},{""startTime"":423,""x"":632,""y"":291,""analysisTime"":21},{""startTime"":455,""x"":643,""y"":298,""analysisTime"":26},{""startTime"":493,""x"":618,""y"":239,""analysisTime"":21},{""startTime"":525,""x"":610,""y"":327,""analysisTime"":22},{""startTime"":558,""x"":647,""y"":364,""analysisTime"":22},{""startTime"":591,""x"":662,""y"":275,""analysisTime"":34},{""startTime"":636,""x"":662,""y"":275,""analysisTime"":25},{""startTime"":672,""x"":686,""y"":321,""analysisTime"":22},{""startTime"":705,""x"":633,""y"":327,""analysisTime"":22},{""startTime"":740,""x"":672,""y"":257,""analysisTime"":39},{""startTime"":789,""x"":710,""y"":205,""analysisTime"":26},{""startTime"":826,""x"":1078,""y"":338,""analysisTime"":21},{""startTime"":858,""x"":1141,""y"":394,""analysisTime"":35},{""startTime"":904,""x"":1141,""y"":394,""analysisTime"":25},{""startTime"":940,""x"":1098,""y"":327,""analysisTime"":22},{""startTime"":973,""x"":1115,""y"":386,""analysisTime"":22},{""startTime"":1006,""x"":1203,""y"":445,""analysisTime"":21},{""startTime"":1040,""x"":1187,""y"":435,""analysisTime"":26},{""startTime"":1077,""x"":1230,""y"":412,""analysisTime"":22},{""startTime"":1109,""x"":1230,""y"":412,""analysisTime"":23},{""startTime"":1143,""x"":1149,""y"":412,""analysisTime"":21},{""startTime"":1175,""x"":1202,""y"":396,""analysisTime"":22},{""startTime"":1208,""x"":1236,""y"":440,""analysisTime"":21},{""startTime"":1240,""x"":1236,""y"":440,""analysisTime"":22},{""startTime"":1272,""x"":1207,""y"":420,""analysisTime"":22},{""startTime"":1305,""x"":1234,""y"":407,""analysisTime"":21},{""startTime"":1340,""x"":1144,""y"":409,""analysisTime"":26},{""startTime"":1377,""x"":1118,""y"":409,""analysisTime"":22},{""startTime"":1409,""x"":1118,""y"":409,""analysisTime"":22},{""startTime"":1442,""x"":1120,""y"":342,""analysisTime"":22},{""startTime"":1475,""x"":1208,""y"":383,""analysisTime"":34},{""startTime"":1519,""x"":1191,""y"":377,""analysisTime"":27}]","435.5","385.5","1199","1249","false","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","8","78743","0.0-6.0-0.1","","","","","","","","","","","","","","","","","","","","","288","[{""start_time"":1689887468323,""x"":758,""y"":257,""analysisTime"":22},{""start_time"":1689887468356,""x"":712,""y"":257,""analysisTime"":25},{""start_time"":1689887468392,""x"":722,""y"":278,""analysisTime"":40},{""start_time"":1689887468442,""x"":753,""y"":229,""analysisTime"":27},{""start_time"":1689887468480,""x"":712,""y"":146,""analysisTime"":22},{""start_time"":1689887468512,""x"":650,""y"":182,""analysisTime"":22},{""start_time"":1689887468544,""x"":716,""y"":233,""analysisTime"":34},{""start_time"":1689887468589,""x"":758,""y"":253,""analysisTime"":25},{""start_time"":1689887468625,""x"":714,""y"":282,""analysisTime"":21},{""start_time"":1689887468657,""x"":631,""y"":321,""analysisTime"":34},{""start_time"":1689887468702,""x"":631,""y"":321,""analysisTime"":25},{""start_time"":1689887468741,""x"":701,""y"":316,""analysisTime"":28},{""start_time"":1689887468780,""x"":658,""y"":308,""analysisTime"":21},{""start_time"":1689887468812,""x"":670,""y"":300,""analysisTime"":22},{""start_time"":1689887470381,""x"":1224,""y"":373,""analysisTime"":30},{""start_time"":1689887470424,""x"":1184,""y"":445,""analysisTime"":26},{""start_time"":1689887470461,""x"":1163,""y"":364,""analysisTime"":22},{""start_time"":1689887470494,""x"":1191,""y"":346,""analysisTime"":21},{""start_time"":1689887470527,""x"":1121,""y"":344,""analysisTime"":34},{""start_time"":1689887470571,""x"":1121,""y"":344,""analysisTime"":57},{""start_time"":1689887470639,""x"":1175,""y"":403,""analysisTime"":21},{""start_time"":1689887470672,""x"":1127,""y"":300,""analysisTime"":21},{""start_time"":1689887470703,""x"":664,""y"":357,""analysisTime"":22},{""start_time"":1689887470740,""x"":675,""y"":312,""analysisTime"":27},{""start_time"":1689887470778,""x"":694,""y"":334,""analysisTime"":35},{""start_time"":1689887470824,""x"":719,""y"":314,""analysisTime"":25},{""start_time"":1689887470860,""x"":663,""y"":353,""analysisTime"":21},{""start_time"":1689887470892,""x"":678,""y"":348,""analysisTime"":34},{""start_time"":1689887470937,""x"":678,""y"":348,""analysisTime"":25},{""start_time"":1689887470975,""x"":719,""y"":354,""analysisTime"":38},{""start_time"":1689887472566,""x"":812,""y"":570,""analysisTime"":30},{""start_time"":1689887472609,""x"":786,""y"":542,""analysisTime"":26},{""start_time"":1689887472646,""x"":825,""y"":549,""analysisTime"":22},{""start_time"":1689887472679,""x"":868,""y"":629,""analysisTime"":22},{""start_time"":1689887472712,""x"":871,""y"":690,""analysisTime"":34},{""start_time"":1689887472756,""x"":866,""y"":602,""analysisTime"":27},{""start_time"":1689887472794,""x"":894,""y"":648,""analysisTime"":22},{""start_time"":1689887472827,""x"":944,""y"":651,""analysisTime"":22},{""start_time"":1689887472859,""x"":578,""y"":414,""analysisTime"":35},{""start_time"":1689887472905,""x"":579,""y"":425,""analysisTime"":25},{""start_time"":1689887472940,""x"":611,""y"":417,""analysisTime"":34},{""start_time"":1689887472993,""x"":590,""y"":428,""analysisTime"":47},{""start_time"":1689887473051,""x"":664,""y"":298,""analysisTime"":23},{""start_time"":1689887473093,""x"":719,""y"":382,""analysisTime"":27},{""start_time"":1689887473132,""x"":703,""y"":323,""analysisTime"":24},{""start_time"":1689887474700,""x"":583,""y"":183,""analysisTime"":30},{""start_time"":1689887474741,""x"":552,""y"":180,""analysisTime"":27},{""start_time"":1689887474778,""x"":599,""y"":164,""analysisTime"":22},{""start_time"":1689887474811,""x"":563,""y"":182,""analysisTime"":22},{""start_time"":1689887474844,""x"":512,""y"":191,""analysisTime"":22},{""start_time"":1689887474876,""x"":666,""y"":306,""analysisTime"":34},{""start_time"":1689887474920,""x"":607,""y"":243,""analysisTime"":27},{""start_time"":1689887474958,""x"":619,""y"":137,""analysisTime"":22},{""start_time"":1689887474991,""x"":596,""y"":83,""analysisTime"":21},{""start_time"":1689887475026,""x"":530,""y"":117,""analysisTime"":40},{""start_time"":1689887475076,""x"":546,""y"":200,""analysisTime"":39},{""start_time"":1689887475126,""x"":529,""y"":85,""analysisTime"":25},{""start_time"":1689887475162,""x"":471,""y"":168,""analysisTime"":21},{""start_time"":1689887475194,""x"":585,""y"":211,""analysisTime"":21},{""start_time"":1689887475225,""x"":615,""y"":219,""analysisTime"":22},{""start_time"":1689887475258,""x"":647,""y"":233,""analysisTime"":21},{""start_time"":1689887475290,""x"":547,""y"":203,""analysisTime"":21},{""start_time"":1689887475322,""x"":619,""y"":236,""analysisTime"":21},{""start_time"":1689887475359,""x"":545,""y"":234,""analysisTime"":39},{""start_time"":1689887475409,""x"":492,""y"":198,""analysisTime"":25},{""start_time"":1689887475445,""x"":606,""y"":268,""analysisTime"":22},{""start_time"":1689887475477,""x"":589,""y"":298,""analysisTime"":52},{""start_time"":1689887475540,""x"":635,""y"":265,""analysisTime"":21},{""start_time"":1689887475575,""x"":660,""y"":338,""analysisTime"":26},{""start_time"":1689887475612,""x"":628,""y"":310,""analysisTime"":22},{""start_time"":1689887475645,""x"":570,""y"":254,""analysisTime"":34},{""start_time"":1689887475690,""x"":598,""y"":252,""analysisTime"":25},{""start_time"":1689887475726,""x"":588,""y"":161,""analysisTime"":22},{""start_time"":1689887475759,""x"":461,""y"":247,""analysisTime"":22},{""start_time"":1689887475792,""x"":465,""y"":178,""analysisTime"":27},{""start_time"":1689887475830,""x"":567,""y"":201,""analysisTime"":21},{""start_time"":1689887475862,""x"":669,""y"":289,""analysisTime"":34},{""start_time"":1689887475907,""x"":637,""y"":283,""analysisTime"":26},{""start_time"":1689887475943,""x"":680,""y"":310,""analysisTime"":22},{""start_time"":1689887475976,""x"":680,""y"":310,""analysisTime"":22},{""start_time"":1689887476009,""x"":708,""y"":259,""analysisTime"":21},{""start_time"":1689887476041,""x"":619,""y"":273,""analysisTime"":21},{""start_time"":1689887476073,""x"":647,""y"":293,""analysisTime"":26},{""start_time"":1689887476110,""x"":669,""y"":282,""analysisTime"":22},{""start_time"":1689887476143,""x"":622,""y"":227,""analysisTime"":38},{""start_time"":1689887477733,""x"":821,""y"":370,""analysisTime"":30},{""start_time"":1689887477775,""x"":874,""y"":317,""analysisTime"":27},{""start_time"":1689887477813,""x"":895,""y"":346,""analysisTime"":21},{""start_time"":1689887477845,""x"":828,""y"":340,""analysisTime"":22},{""start_time"":1689887477880,""x"":799,""y"":367,""analysisTime"":48},{""start_time"":1689887477940,""x"":786,""y"":351,""analysisTime"":23},{""start_time"":1689887477974,""x"":780,""y"":365,""analysisTime"":22},{""start_time"":1689887479535,""x"":1011,""y"":254,""analysisTime"":30},{""start_time"":1689887479576,""x"":990,""y"":251,""analysisTime"":40},{""start_time"":1689887479626,""x"":990,""y"":251,""analysisTime"":26},{""start_time"":1689887479663,""x"":997,""y"":245,""analysisTime"":21},{""start_time"":1689887479695,""x"":844,""y"":297,""analysisTime"":34},{""start_time"":1689887479739,""x"":852,""y"":362,""analysisTime"":27},{""start_time"":1689887479776,""x"":938,""y"":340,""analysisTime"":22},{""start_time"":1689887479809,""x"":610,""y"":298,""analysisTime"":21},{""start_time"":1689887479841,""x"":591,""y"":271,""analysisTime"":26},{""start_time"":1689887479878,""x"":583,""y"":331,""analysisTime"":22},{""start_time"":1689887479911,""x"":626,""y"":275,""analysisTime"":21},{""start_time"":1689887479943,""x"":630,""y"":325,""analysisTime"":21},{""start_time"":1689887479975,""x"":630,""y"":325,""analysisTime"":22},{""start_time"":1689887481563,""x"":772,""y"":485,""analysisTime"":19},{""start_time"":1689887481592,""x"":793,""y"":474,""analysisTime"":27},{""start_time"":1689887481630,""x"":818,""y"":491,""analysisTime"":22},{""start_time"":1689887481663,""x"":889,""y"":541,""analysisTime"":21},{""start_time"":1689887481695,""x"":792,""y"":527,""analysisTime"":35},{""start_time"":1689887481742,""x"":789,""y"":357,""analysisTime"":30},{""start_time"":1689887481783,""x"":811,""y"":409,""analysisTime"":25},{""start_time"":1689887481819,""x"":668,""y"":508,""analysisTime"":22},{""start_time"":1689887483383,""x"":1165,""y"":435,""analysisTime"":29},{""start_time"":1689887483426,""x"":1042,""y"":254,""analysisTime"":26},{""start_time"":1689887483463,""x"":1095,""y"":359,""analysisTime"":21},{""start_time"":1689887483494,""x"":1101,""y"":338,""analysisTime"":23},{""start_time"":1689887483527,""x"":1109,""y"":306,""analysisTime"":22},{""start_time"":1689887483560,""x"":1109,""y"":293,""analysisTime"":20},{""start_time"":1689887483590,""x"":1076,""y"":297,""analysisTime"":22},{""start_time"":1689887483626,""x"":1030,""y"":302,""analysisTime"":26},{""start_time"":1689887483663,""x"":992,""y"":233,""analysisTime"":22},{""start_time"":1689887483696,""x"":883,""y"":253,""analysisTime"":21},{""start_time"":1689887483727,""x"":870,""y"":482,""analysisTime"":22},{""start_time"":1689887483761,""x"":751,""y"":510,""analysisTime"":20},{""start_time"":1689887483792,""x"":749,""y"":477,""analysisTime"":21},{""start_time"":1689887483824,""x"":678,""y"":393,""analysisTime"":21},{""start_time"":1689887483856,""x"":569,""y"":299,""analysisTime"":20},{""start_time"":1689887483888,""x"":532,""y"":317,""analysisTime"":21},{""start_time"":1689887483926,""x"":523,""y"":303,""analysisTime"":27},{""start_time"":1689887483964,""x"":563,""y"":278,""analysisTime"":22}]","632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","9","80296","0.0-6.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","1440","718","[{""startTime"":0,""x"":719,""y"":354,""analysisTime"":20},{""startTime"":31,""x"":705,""y"":358,""analysisTime"":23},{""startTime"":65,""x"":744,""y"":377,""analysisTime"":21},{""startTime"":97,""x"":744,""y"":377,""analysisTime"":22},{""startTime"":130,""x"":586,""y"":315,""analysisTime"":21},{""startTime"":162,""x"":664,""y"":362,""analysisTime"":22},{""startTime"":194,""x"":675,""y"":357,""analysisTime"":22},{""startTime"":226,""x"":675,""y"":357,""analysisTime"":22},{""startTime"":262,""x"":643,""y"":374,""analysisTime"":27},{""startTime"":299,""x"":683,""y"":373,""analysisTime"":22},{""startTime"":332,""x"":743,""y"":317,""analysisTime"":34},{""startTime"":378,""x"":725,""y"":360,""analysisTime"":25},{""startTime"":414,""x"":712,""y"":482,""analysisTime"":22},{""startTime"":446,""x"":635,""y"":376,""analysisTime"":35},{""startTime"":491,""x"":635,""y"":376,""analysisTime"":26},{""startTime"":527,""x"":691,""y"":321,""analysisTime"":22},{""startTime"":561,""x"":594,""y"":321,""analysisTime"":34},{""startTime"":605,""x"":679,""y"":386,""analysisTime"":26},{""startTime"":642,""x"":718,""y"":452,""analysisTime"":21},{""startTime"":674,""x"":728,""y"":341,""analysisTime"":21},{""startTime"":712,""x"":676,""y"":294,""analysisTime"":39},{""startTime"":762,""x"":588,""y"":314,""analysisTime"":26},{""startTime"":798,""x"":574,""y"":382,""analysisTime"":34},{""startTime"":842,""x"":664,""y"":516,""analysisTime"":27},{""startTime"":879,""x"":786,""y"":665,""analysisTime"":22},{""startTime"":912,""x"":750,""y"":537,""analysisTime"":22},{""startTime"":944,""x"":780,""y"":641,""analysisTime"":35},{""startTime"":989,""x"":780,""y"":641,""analysisTime"":25},{""startTime"":1028,""x"":902,""y"":637,""analysisTime"":26},{""startTime"":1066,""x"":932,""y"":641,""analysisTime"":20},{""startTime"":1097,""x"":906,""y"":630,""analysisTime"":22},{""startTime"":1129,""x"":906,""y"":630,""analysisTime"":22},{""startTime"":1162,""x"":784,""y"":580,""analysisTime"":22},{""startTime"":1195,""x"":755,""y"":580,""analysisTime"":25},{""startTime"":1231,""x"":790,""y"":547,""analysisTime"":22},{""startTime"":1263,""x"":790,""y"":547,""analysisTime"":22},{""startTime"":1296,""x"":944,""y"":615,""analysisTime"":21},{""startTime"":1328,""x"":871,""y"":632,""analysisTime"":22},{""startTime"":1360,""x"":769,""y"":582,""analysisTime"":22},{""startTime"":1394,""x"":888,""y"":632,""analysisTime"":20},{""startTime"":1425,""x"":736,""y"":550,""analysisTime"":22},{""startTime"":1462,""x"":797,""y"":514,""analysisTime"":26},{""startTime"":1499,""x"":797,""y"":538,""analysisTime"":21},{""startTime"":1531,""x"":765,""y"":537,""analysisTime"":22}]","686.796875","636.796875","695","745","false","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
