"trial_type","trial_index","time_elapsed","internal_node_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","calibrationAccuracy","currGazeTime","singleCrossData","totalGazeTime","screenX","screenY","gazerDatasingleDotDuration","stimBot","stimTop","stimLeft","stimRight","webgazerError","stimLocation","trialLength","gazerDatadoubleImageGaze","stimLeftGaze","stimRightGaze","leftStimDims","rightStimDims","currGazeObject","gazerDatadoubleImageKey","stimulusOne","stimulusTwo","stimuliAreas","keyResp","gazerDatadoubleImageDuration","stimulusLeft","stimulusRight","LstimBot","LstimLeft","LstimRight","LstimTop","RstimBot","RstimLeft","RstimRight","RstimTop","gazerDatasingleImageKey","keyStimBot","keyStimTop","keyStimLeft","keyStimRight","upright","singleImageKeyWebgazerError","gazerDatasingleImageDuration","durationStimBot","durationStimTop","durationStimLeft","durationStimRight","singleImageDurationStimulus","singleImageDurationUpright","singleImageDurationWebgazerError"
"pavlovia","0","3607","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","1","4608","0.0-1.0","1440","900","true","chrome","114.0.0","false","Mac OS","true","60.05","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","2","5470","0.0-2.0","","","","","","","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","7392","0.0-3.0","","","","","","","","","","","","","","","","","1922","<p>Welcome to the Gazer demo experiment.</p>
    <p>The purpose of this demo is to provide working examples for all the available Gazer plugins for jsPsych.</p>
    <p>For documentation of this system, please visit <a href='https://amyvanwell.github.io/gazerCode/'>amyvanwell.github.io/gazerCode/</a>.</p> 
    <p>Press any key to proceed to the first part of the demonstration, the Gazer calibration.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"calibrate-quadrants-simple","4","30267","0.0-4.0","","","","","","","","","","","","","","","","","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","30771","0.0-5.0","","","","","","","","","","","","","","","","","503","<p>Thank you for calibrating, you will now proceed to the trials.</p><p> There are a total of 5 blocks of trials, each of a different type. <br>The first will be a block of 8 SINGLE-DOT-DURATION trials.</p><p>Your task is to fixate on the center cross, and then gaze at the red dot when it appears until the end of the trial.</p><p>In each trial, we will wait to present the red dot until we record your gaze has been on the center cross for 250ms consecutively.</p><p> Press [space] to continue to proceed to the first trial.</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","6","34036","0.0-6.0-0.0","","","","","","","","","","","","","","","","","","","","","297","[{""startTime"":1689888232779,""x"":492,""y"":185,""analysisTime"":34},{""startTime"":1689888232824,""x"":474,""y"":230,""analysisTime"":40},{""startTime"":1689888232874,""x"":418,""y"":270,""analysisTime"":40},{""startTime"":1689888232925,""x"":591,""y"":255,""analysisTime"":32},{""startTime"":1689888232967,""x"":533,""y"":221,""analysisTime"":27},{""startTime"":1689888233007,""x"":504,""y"":126,""analysisTime"":39},{""startTime"":1689888233056,""x"":573,""y"":153,""analysisTime"":38},{""startTime"":1689888233105,""x"":770,""y"":215,""analysisTime"":41},{""startTime"":1689888233157,""x"":812,""y"":214,""analysisTime"":38},{""startTime"":1689888233205,""x"":739,""y"":192,""analysisTime"":40},{""startTime"":1689888233255,""x"":794,""y"":208,""analysisTime"":39},{""startTime"":1689888233304,""x"":617,""y"":183,""analysisTime"":39},{""startTime"":1689888233353,""x"":603,""y"":165,""analysisTime"":38},{""startTime"":1689888233401,""x"":724,""y"":231,""analysisTime"":39},{""startTime"":1689888233451,""x"":724,""y"":231,""analysisTime"":25},{""startTime"":1689888233491,""x"":750,""y"":213,""analysisTime"":39},{""startTime"":1689888233540,""x"":781,""y"":251,""analysisTime"":39},{""startTime"":1689888233590,""x"":710,""y"":249,""analysisTime"":38},{""startTime"":1689888233638,""x"":849,""y"":188,""analysisTime"":38},{""startTime"":1689888233688,""x"":718,""y"":187,""analysisTime"":37},{""startTime"":1689888233735,""x"":812,""y"":206,""analysisTime"":26},{""startTime"":1689888233774,""x"":677,""y"":267,""analysisTime"":40},{""startTime"":1689888233824,""x"":811,""y"":219,""analysisTime"":39},{""startTime"":1689888233873,""x"":677,""y"":249,""analysisTime"":38},{""startTime"":1689888233922,""x"":698,""y"":242,""analysisTime"":59},{""startTime"":1689888233992,""x"":779,""y"":280,""analysisTime"":37},{""startTime"":1689888234040,""x"":895,""y"":240,""analysisTime"":30},{""startTime"":1689888234080,""x"":868,""y"":258,""analysisTime"":26},{""startTime"":1689888234117,""x"":906,""y"":273,""analysisTime"":34},{""startTime"":1689888234161,""x"":833,""y"":268,""analysisTime"":39},{""startTime"":1689888234211,""x"":853,""y"":258,""analysisTime"":38},{""startTime"":1689888234260,""x"":746,""y"":279,""analysisTime"":38},{""startTime"":1689888234308,""x"":939,""y"":265,""analysisTime"":39},{""startTime"":1689888234357,""x"":813,""y"":245,""analysisTime"":37},{""startTime"":1689888234404,""x"":782,""y"":219,""analysisTime"":40},{""startTime"":1689888234455,""x"":799,""y"":235,""analysisTime"":37},{""startTime"":1689888234502,""x"":748,""y"":218,""analysisTime"":26},{""startTime"":1689888234541,""x"":861,""y"":228,""analysisTime"":38},{""startTime"":1689888234590,""x"":596,""y"":734,""analysisTime"":38},{""startTime"":1689888234638,""x"":543,""y"":902,""analysisTime"":39},{""startTime"":1689888234688,""x"":509,""y"":795,""analysisTime"":37},{""startTime"":1689888234735,""x"":786,""y"":557,""analysisTime"":39},{""startTime"":1689888234785,""x"":803,""y"":562,""analysisTime"":25},{""startTime"":1689888234825,""x"":768,""y"":414,""analysisTime"":40},{""startTime"":1689888234876,""x"":874,""y"":311,""analysisTime"":39},{""startTime"":1689888234926,""x"":923,""y"":293,""analysisTime"":37},{""startTime"":1689888234973,""x"":855,""y"":287,""analysisTime"":39},{""startTime"":1689888235023,""x"":883,""y"":330,""analysisTime"":37},{""startTime"":1689888235070,""x"":774,""y"":314,""analysisTime"":39},{""startTime"":1689888235119,""x"":802,""y"":313,""analysisTime"":38},{""startTime"":1689888235167,""x"":888,""y"":329,""analysisTime"":26},{""startTime"":1689888235208,""x"":800,""y"":294,""analysisTime"":40},{""startTime"":1689888235258,""x"":790,""y"":304,""analysisTime"":39},{""startTime"":1689888235307,""x"":804,""y"":308,""analysisTime"":39},{""startTime"":1689888235357,""x"":826,""y"":303,""analysisTime"":40},{""startTime"":1689888235408,""x"":814,""y"":300,""analysisTime"":31},{""startTime"":1689888235449,""x"":809,""y"":308,""analysisTime"":27},{""startTime"":1689888235490,""x"":890,""y"":305,""analysisTime"":39},{""startTime"":1689888235540,""x"":855,""y"":277,""analysisTime"":38},{""startTime"":1689888235588,""x"":898,""y"":270,""analysisTime"":38},{""startTime"":1689888235636,""x"":744,""y"":305,""analysisTime"":26},{""startTime"":1689888235673,""x"":765,""y"":292,""analysisTime"":22},{""startTime"":1689888235707,""x"":631,""y"":329,""analysisTime"":40},{""startTime"":1689888235758,""x"":703,""y"":322,""analysisTime"":31},{""startTime"":1689888235799,""x"":755,""y"":338,""analysisTime"":26},{""startTime"":1689888235836,""x"":842,""y"":343,""analysisTime"":22},{""startTime"":1689888235869,""x"":763,""y"":323,""analysisTime"":30},{""startTime"":1689888235909,""x"":741,""y"":330,""analysisTime"":38},{""startTime"":1689888235958,""x"":760,""y"":308,""analysisTime"":37},{""startTime"":1689888236005,""x"":741,""y"":326,""analysisTime"":39}]","3265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","7","35575","0.0-6.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","1440","900","[{""startTime"":1,""x"":741,""y"":326,""analysisTime"":25},{""startTime"":41,""x"":838,""y"":346,""analysisTime"":24},{""startTime"":76,""x"":805,""y"":346,""analysisTime"":22},{""startTime"":112,""x"":866,""y"":359,""analysisTime"":41},{""startTime"":163,""x"":714,""y"":370,""analysisTime"":40},{""startTime"":214,""x"":719,""y"":419,""analysisTime"":38},{""startTime"":262,""x"":664,""y"":395,""analysisTime"":40},{""startTime"":314,""x"":787,""y"":394,""analysisTime"":36},{""startTime"":361,""x"":683,""y"":420,""analysisTime"":38},{""startTime"":410,""x"":610,""y"":434,""analysisTime"":37},{""startTime"":457,""x"":691,""y"":423,""analysisTime"":27},{""startTime"":495,""x"":604,""y"":347,""analysisTime"":34},{""startTime"":540,""x"":604,""y"":347,""analysisTime"":25},{""startTime"":581,""x"":711,""y"":417,""analysisTime"":26},{""startTime"":619,""x"":652,""y"":435,""analysisTime"":34},{""startTime"":663,""x"":641,""y"":419,""analysisTime"":40},{""startTime"":713,""x"":723,""y"":384,""analysisTime"":39},{""startTime"":762,""x"":672,""y"":355,""analysisTime"":39},{""startTime"":812,""x"":833,""y"":271,""analysisTime"":37},{""startTime"":859,""x"":826,""y"":65,""analysisTime"":26},{""startTime"":897,""x"":648,""y"":144,""analysisTime"":39},{""startTime"":946,""x"":512,""y"":187,""analysisTime"":38},{""startTime"":994,""x"":817,""y"":199,""analysisTime"":39},{""startTime"":1044,""x"":1051,""y"":261,""analysisTime"":38},{""startTime"":1092,""x"":1073,""y"":254,""analysisTime"":39},{""startTime"":1142,""x"":1093,""y"":312,""analysisTime"":25},{""startTime"":1179,""x"":1222,""y"":276,""analysisTime"":39},{""startTime"":1229,""x"":1313,""y"":178,""analysisTime"":39},{""startTime"":1279,""x"":1154,""y"":152,""analysisTime"":38},{""startTime"":1327,""x"":1182,""y"":179,""analysisTime"":26},{""startTime"":1364,""x"":1337,""y"":294,""analysisTime"":21},{""startTime"":1396,""x"":1351,""y"":221,""analysisTime"":35},{""startTime"":1441,""x"":1350,""y"":261,""analysisTime"":25},{""startTime"":1481,""x"":1442,""y"":211,""analysisTime"":26},{""startTime"":1519,""x"":1432,""y"":197,""analysisTime"":20}]","211.5","161.5","191","241","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Cross-Gaze","8","37436","0.0-6.0-0.1","","","","","","","","","","","","","","","","","","","","","255","[{""startTime"":1689888237583,""x"":1491,""y"":208,""analysisTime"":31},{""startTime"":1689888237625,""x"":1319,""y"":198,""analysisTime"":40},{""startTime"":1689888237675,""x"":1494,""y"":249,""analysisTime"":38},{""startTime"":1689888237723,""x"":1390,""y"":279,""analysisTime"":40},{""startTime"":1689888237774,""x"":1487,""y"":234,""analysisTime"":40},{""startTime"":1689888237824,""x"":502,""y"":190,""analysisTime"":39},{""startTime"":1689888237874,""x"":857,""y"":136,""analysisTime"":38},{""startTime"":1689888237923,""x"":669,""y"":107,""analysisTime"":38},{""startTime"":1689888237972,""x"":597,""y"":151,""analysisTime"":38},{""startTime"":1689888238020,""x"":597,""y"":151,""analysisTime"":27},{""startTime"":1689888238058,""x"":780,""y"":203,""analysisTime"":34},{""startTime"":1689888238104,""x"":867,""y"":97,""analysisTime"":38},{""startTime"":1689888238153,""x"":867,""y"":97,""analysisTime"":26},{""startTime"":1689888238198,""x"":940,""y"":145,""analysisTime"":68},{""startTime"":1689888238276,""x"":853,""y"":141,""analysisTime"":37},{""startTime"":1689888238325,""x"":728,""y"":218,""analysisTime"":38},{""startTime"":1689888238375,""x"":788,""y"":262,""analysisTime"":38},{""startTime"":1689888238424,""x"":878,""y"":269,""analysisTime"":25},{""startTime"":1689888238459,""x"":849,""y"":234,""analysisTime"":35},{""startTime"":1689888238504,""x"":927,""y"":233,""analysisTime"":38},{""startTime"":1689888238553,""x"":859,""y"":217,""analysisTime"":25},{""startTime"":1689888238590,""x"":858,""y"":197,""analysisTime"":38},{""startTime"":1689888238638,""x"":915,""y"":226,""analysisTime"":40},{""startTime"":1689888238688,""x"":720,""y"":286,""analysisTime"":38},{""startTime"":1689888238737,""x"":681,""y"":284,""analysisTime"":24},{""startTime"":1689888238775,""x"":719,""y"":285,""analysisTime"":39},{""startTime"":1689888238824,""x"":487,""y"":584,""analysisTime"":39},{""startTime"":1689888238873,""x"":799,""y"":488,""analysisTime"":38},{""startTime"":1689888238922,""x"":769,""y"":420,""analysisTime"":38},{""startTime"":1689888238971,""x"":423,""y"":617,""analysisTime"":32},{""startTime"":1689888239014,""x"":430,""y"":869,""analysisTime"":26},{""startTime"":1689888239058,""x"":506,""y"":882,""analysisTime"":42},{""startTime"":1689888239111,""x"":498,""y"":633,""analysisTime"":41},{""startTime"":1689888239163,""x"":555,""y"":572,""analysisTime"":26},{""startTime"":1689888239200,""x"":566,""y"":543,""analysisTime"":30},{""startTime"":1689888239241,""x"":597,""y"":492,""analysisTime"":38},{""startTime"":1689888239290,""x"":587,""y"":442,""analysisTime"":37},{""startTime"":1689888239338,""x"":659,""y"":441,""analysisTime"":38},{""startTime"":1689888239386,""x"":659,""y"":441,""analysisTime"":26},{""startTime"":1689888239422,""x"":726,""y"":503,""analysisTime"":22}]","1861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Single-Dot-Duration","9","38987","0.0-6.0-1.1","","","","","","","","","","","","","","","","","","","","","","","","1440","900","[{""startTime"":0,""x"":634,""y"":478,""analysisTime"":30},{""startTime"":40,""x"":693,""y"":447,""analysisTime"":39},{""startTime"":89,""x"":840,""y"":371,""analysisTime"":26},{""startTime"":131,""x"":888,""y"":345,""analysisTime"":40},{""startTime"":181,""x"":803,""y"":362,""analysisTime"":39},{""startTime"":231,""x"":772,""y"":351,""analysisTime"":38},{""startTime"":280,""x"":686,""y"":370,""analysisTime"":38},{""startTime"":328,""x"":635,""y"":366,""analysisTime"":39},{""startTime"":377,""x"":885,""y"":390,""analysisTime"":38},{""startTime"":426,""x"":825,""y"":380,""analysisTime"":25},{""startTime"":464,""x"":846,""y"":367,""analysisTime"":38},{""startTime"":513,""x"":853,""y"":295,""analysisTime"":38},{""startTime"":562,""x"":884,""y"":319,""analysisTime"":39},{""startTime"":611,""x"":976,""y"":370,""analysisTime"":39},{""startTime"":661,""x"":790,""y"":418,""analysisTime"":38},{""startTime"":710,""x"":754,""y"":436,""analysisTime"":38},{""startTime"":759,""x"":648,""y"":246,""analysisTime"":37},{""startTime"":807,""x"":481,""y"":137,""analysisTime"":37},{""startTime"":855,""x"":963,""y"":117,""analysisTime"":25},{""startTime"":891,""x"":929,""y"":250,""analysisTime"":22},{""startTime"":924,""x"":895,""y"":231,""analysisTime"":35},{""startTime"":979,""x"":895,""y"":231,""analysisTime"":50},{""startTime"":1040,""x"":1161,""y"":188,""analysisTime"":23},{""startTime"":1081,""x"":1357,""y"":184,""analysisTime"":42},{""startTime"":1134,""x"":1483,""y"":161,""analysisTime"":39},{""startTime"":1183,""x"":1497,""y"":150,""analysisTime"":39},{""startTime"":1233,""x"":1461,""y"":136,""analysisTime"":37},{""startTime"":1281,""x"":1643,""y"":146,""analysisTime"":38},{""startTime"":1329,""x"":1524,""y"":150,""analysisTime"":38},{""startTime"":1383,""x"":1699,""y"":82,""analysisTime"":26},{""startTime"":1421,""x"":1699,""y"":109,""analysisTime"":32},{""startTime"":1464,""x"":1440,""y"":289,""analysisTime"":38},{""startTime"":1513,""x"":1661,""y"":125,""analysisTime"":38}]","211.5","161.5","191","241","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
